index,jempol_kanan,telunjuk_kanan,tengah_kanan,manis_kanan,kelingking_kanan,jempol_kiri,telunjuk_kiri,tengah_kiri,manis_kiri,kelingking_kiri
1,58.8809318542,95.2031326294,101.740394592,96.9273605347,88.00849151610001,69.8703918457,96.3162384033,101.86444854700001,95.3389205933,86.2809448242
1,58.8811798096,95.20910644530001,101.76167297399999,96.9691390991,88.06321716309999,69.8722991943,96.3375854492,101.884376526,95.34462738040001,86.27626800540001
1,58.881427764899996,95.2172241211,101.786766052,97.00924682620001,88.09288024899999,69.87715911869999,96.3558349609,101.90460968,95.347442627,86.27387237549999
1,58.881652832,95.22779846190001,101.805114746,97.05020141600001,88.1193695068,69.8767852783,96.3840789795,101.919029236,95.3558578491,86.2705993652
1,58.8818588257,95.2350463867,101.825195312,97.0842514038,88.148109436,69.8802719116,96.40265655520001,101.933891296,95.3628692627,86.2695922852
1,58.8820762634,95.23871612549999,101.83716583299999,97.1165466309,88.1736831665,69.8848266602,96.4306411743,101.940284729,95.3661499023,86.264793396
1,58.8822669983,95.2398986816,101.860710144,97.1376876831,88.1919937134,69.882522583,96.4543914795,101.951225281,95.3641662598,86.26128387450001
1,58.8824653625,95.24131774899999,101.882614136,97.16296386719999,88.2073669434,69.8835525513,96.47157287600001,101.962120056,95.3622131348,86.25723266600001
1,58.8826446533,95.24942016600001,101.897972107,97.1905212402,88.2193832397,69.8613433838,96.48741149899999,101.97344970700001,95.3607406616,86.2531509399
1,58.8828277588,95.25816345209999,101.91290283200001,97.2089920044,88.2380752563,69.8606414795,96.5058822632,101.990936279,95.3575592041,86.2498855591
1,58.88299942020001,95.2636108398,101.930763245,97.22142028809999,88.2610244751,69.8677597046,96.529586792,102.00074768100001,95.35570526120001,86.24591064450001
1,58.883140563999994,95.27165985110001,101.949645996,97.2339553833,88.28421783450001,69.8672790527,96.55361175540001,102.01105499299999,95.35213470459999,86.23885345459999
1,58.8833007812,95.2790679932,101.96740722700001,97.25896453860001,88.3042755127,69.87357330319999,96.585609436,102.022514343,95.35880279540001,86.2316360474
1,58.8834457397,95.28958129879999,101.98832702600001,97.3044128418,88.31712341309999,69.8776397705,96.6120986938,102.04092407200001,95.3689498901,86.2267913818
1,58.88360214229999,95.29577636719999,102.019256592,97.3392028809,88.3595428467,69.8790283203,96.63050842290001,102.069221497,95.38865661620001,86.22071838379999
1,58.883731841999996,95.29917907709999,102.05136871299999,97.3697814941,88.38388824459999,69.8865432739,96.6611404419,102.11142730700001,95.40319824219999,86.2163696289
1,58.8838615417,95.2973480225,102.077079773,97.39818573,88.4041290283,69.88175964359999,96.68622589110001,102.15306854200001,95.42121887209998,86.2200164795
